reaction_id	namespace	accession
RHEA:16233	KEGG_REACTION	R02472
RHEA:16233	EC	1.1.1.169
RHEA:19497	KEGG_REACTION	R00489
RHEA:19497	EC	4.1.1.11
RHEA:10912	KEGG_REACTION	R02473
RHEA:10912	EC	6.3.2.1
RHEA:31507	KEGG_REACTION	R10089
RHEA:31507	EC	4.3.3.6
RHEA:12056	KEGG_REACTION	R01825
RHEA:12056	EC	1.2.1.72
RHEA:18829	KEGG_REACTION	R04210
RHEA:18829	EC	1.1.1.290
RHEA:16573	KEGG_REACTION	R05085
RHEA:16573	EC	2.6.1.52
RHEA:32275	KEGG_REACTION	R05681
RHEA:32275	EC	1.1.1.262
RHEA:15265	KEGG_REACTION	R05838
RHEA:15265	EC	2.6.99.2
RHEA:15149	KEGG_REACTION	R00277
RHEA:15149	EC	1.4.3.5
RHEA:20712	KEGG_REACTION	R03210
RHEA:20712	EC	2.3.1.47
RHEA:16861	KEGG_REACTION	R03231
RHEA:16861	EC	2.6.1.62
RHEA:15805	KEGG_REACTION	R03182
RHEA:15805	EC	6.3.3.3
RHEA:22060	KEGG_REACTION	R01078
RHEA:22060	EC	2.8.1.6
RHEA:26329	KEGG_REACTION	R10699
RHEA:26329	EC	2.6.1.105
RHEA:25876	KEGG_REACTION	R00481
RHEA:25876	EC	1.4.3.16
RHEA:25888	KEGG_REACTION	R04292
RHEA:25888	EC	2.5.1.72
RHEA:42440	KEGG_REACTION	R07410
RHEA:42440	EC	1.4.1.29
RHEA:12733	KEGG_REACTION	R03348
RHEA:12733	EC	2.4.2.19
RHEA:22860	KEGG_REACTION	R03005
RHEA:22860	EC	2.7.7.18
RHEA:21188	KEGG_REACTION	R00189
RHEA:21188	EC	6.3.1.5
RHEA:24384	KEGG_REACTION	R00257
RHEA:24384	EC	6.3.5.1
RHEA:36163	KEGG_REACTION	R01724
RHEA:36163	EC	6.3.4.21
RHEA:32459	KEGG_REACTION	R03194
RHEA:32459	EC	2.1.1.107
RHEA:15613	KEGG_REACTION	R03947
RHEA:15613	EC	1.3.1.76
RHEA:15893	KEGG_REACTION	R05807
RHEA:15893	EC	4.99.1.3
RHEA:17997	KEGG_REACTION	R05808
RHEA:17997	EC	2.1.1.151
RHEA:36155	KEGG_REACTION	R11580
RHEA:36155	EC	2.1.1.272
RHEA:26277	KEGG_REACTION	R05810
RHEA:26277	EC	2.1.1.271
RHEA:26281	KEGG_REACTION	R07772
RHEA:26281	EC	3.7.1.12
RHEA:26285	KEGG_REACTION	R07773
RHEA:26285	EC	2.1.1.195
RHEA:15625	KEGG_REACTION	R05812
RHEA:15625	EC	1.3.1.106
RHEA:36067	KEGG_REACTION	R07774
RHEA:36067	EC	2.1.1.196
RHEA:34591	KEGG_REACTION	R07775
RHEA:34591	EC	2.1.1.289
RHEA:16209	KEGG_REACTION	R05814
RHEA:16209	EC	5.4.99.60
RHEA:26289	KEGG_REACTION	R05815
RHEA:26289	EC	6.3.5.11
RHEA:16841	KEGG_REACTION	R03948
RHEA:16841	EC	2.1.1.130
RHEA:17293	KEGG_REACTION	R05217
RHEA:17293	EC	1.14.13.83
RHEA:12761	KEGG_REACTION	R05180
RHEA:12761	EC	2.1.1.131
RHEA:22012	KEGG_REACTION	R05181
RHEA:22012	EC	2.1.1.133
RHEA:18261	KEGG_REACTION	R05219
RHEA:18261	EC	2.1.1.152
RHEA:23408	KEGG_REACTION	R05150
RHEA:23408	EC	1.3.1.54
RHEA:17477	KEGG_REACTION	R05149
RHEA:17477	EC	2.1.1.132
RHEA:22512	KEGG_REACTION	R05177
RHEA:22512	EC	5.4.99.61
RHEA:12544	KEGG_REACTION	R05224
RHEA:12544	EC	6.3.5.9
RHEA:15341	KEGG_REACTION	R05227
RHEA:15341	EC	6.6.1.2
RHEA:11528	KEGG_REACTION	R12184
RHEA:11528	EC	2.5.1.17
RHEA:23256	KEGG_REACTION	R05225
RHEA:23256	EC	6.3.5.10
RHEA:21896	KEGG_REACTION	R07302
RHEA:21896	EC	6.3.1.10
RHEA:22712	KEGG_REACTION	R05222
RHEA:22712	EC	2.7.7.62
RHEA:11196	KEGG_REACTION	R04148
RHEA:11196	EC	2.4.2.21
RHEA:24456	KEGG_REACTION	R04594
RHEA:24456	EC	3.1.3.73
RHEA:16049	KEGG_REACTION	R05223
RHEA:16049	EC	2.7.8.26
RHEA:27345	EC	1.13.11.79
RHEA:18985	KEGG_REACTION	R01717
RHEA:18985	EC	5.4.4.2
RHEA:25593	KEGG_REACTION	R08165
RHEA:25593	EC	2.2.1.9
RHEA:25597	KEGG_REACTION	R08166
RHEA:25597	EC	4.2.99.20
RHEA:10196	KEGG_REACTION	R04031
RHEA:10196	EC	4.2.1.113
RHEA:17009	KEGG_REACTION	R04030
RHEA:17009	EC	6.2.1.26
RHEA:26562	KEGG_REACTION	R07263
